var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
cdrh,Caudate,right,reward,cognition,basal ganglia,caudate,caudate,
cbclh,Cerebellar Cortex,left,motor,interoception,cerebellum,cerebellar cortex,cerebellar cortex,
cbcrh,Cerebellar Cortex,right,motor,interoception,cerebellum,cerebellar cortex,cerebellar cortex,
crbcortexlh,Cerebellar Cortex,left,motor,interoception,cerebellum,cerebellar cortex,cerebellar cortex,
crbcortexrh,Cerebellar Cortex,right,motor,interoception,cerebellum,cerebellar cortex,cerebellar cortex,
crcxlh,Cerebellar Cortex,left,motor,interoception,cerebellum,cerebellar cortex,cerebellar cortex,
crcxrh,Cerebellar Cortex,right,motor,interoception,cerebellum,cerebellar cortex,cerebellar cortex,
cbwmlh,Cerebellar White Matter,left,,,cerebellum,cerebellar white matter,cerebellar white matter,
cbwmrh,Cerebellar White Matter,right,,,cerebellum,cerebellar white matter,cerebellar white matter,
crbwmatterlh,Cerebellar White Matter,left,,,cerebellum,cerebellar white matter,cerebellar white matter,
crbwmatterrh,Cerebellar White Matter,left,,,cerebellum,cerebellar white matter,cerebellar white matter,
cwmlh,Cerebral White Matter,left,,,,cerebral white matter,cerebral white matter,
cwmrh,Cerebral White Matter,left,,,,cerebral white matter,cerebral white matter,
iclh,Cingulate Gyrus - Ithmus,left,executive function,reward,triple network,cingulate gyrus - ithmus,isthmus cingulate,
icrh,Cingulate Gyrus - Ithmus,right,executive function,reward,triple network,cingulate gyrus - ithmus,isthmus cingulate,
ihcatelh,Cingulate Gyrus - Ithsmus,left,executive function,reward,triple network,cingulate gyrus - ithsmus,cingulate gyrus - ithsmus,
ihcaterh,Cingulate Gyrus - Ithsmus,right,executive function,reward,triple network,cingulate gyrus - ithsmus,cingulate gyrus - ithsmus,
ihclatelh,Cingulate Gyrus - Ithsmus,left,executive function,reward,triple network,cingulate gyrus - ithsmus,cingulate gyrus - ithsmus,
ihclaterh,Cingulate Gyrus - Ithsmus,right,executive function,reward,triple network,cingulate gyrus - ithsmus,cingulate gyrus - ithsmus,
caclh,Cingulate Gyrus- Caudal Anterior,left,reward,decision making,triple network,cingulate gyrus- caudal anterior,caudal anterior cingulate,
cacrh,Cingulate Gyrus- Caudal Anterior,left,reward,decision making,triple network,cingulate gyrus- caudal anterior,caudal anterior cingulate,
cdacatelh,Cingulate Gyrus- Caudal Anterior,left,reward,decision making,triple network,cingulate gyrus- caudal anterior,caudal anterior cingulate,
cdacaterh,Cingulate Gyrus- Caudal Anterior,right,reward,decision making,triple network,cingulate gyrus- caudal anterior,caudal anterior cingulate,
cdaclatelh,Cingulate Gyrus- Caudal Anterior,left,reward,decision making,triple network,cingulate gyrus- caudal anterior,caudal anterior cingulate,
cdaclaterh,Cingulate Gyrus- Caudal Anterior,right,reward,decision making,triple network,cingulate gyrus- caudal anterior,caudal anterior cingulate,
pcglh,Cingulate Gyrus- Posterior,left,visual processing,memory,triple network,cingulate gyrus- posterior,posterior cingulate,
pcgrh,Cingulate Gyrus- Posterior,right,visual processing,memory,triple network,cingulate gyrus- posterior,posterior cingulate,
psclatelh,Cingulate Gyrus- Posterior,left,visual processing,memory,triple network,cingulate gyrus- posterior,posterior cingulate,
psclaterh,Cingulate Gyrus- Posterior,right,visual processing,memory,triple network,cingulate gyrus- posterior,posterior cingulate,
ptcatelh,Cingulate Gyrus- Posterior,left,visual processing,memory,triple network,cingulate gyrus- posterior,posterior cingulate,
ptcaterh,Cingulate Gyrus- Posterior,right,visual processing,memory,triple network,cingulate gyrus- posterior,posterior cingulate,
raclh,Cingulate Gyrus- Rostral Anterior,left,reward,error processing,triple network,cingulate gyrus- rostral anterior,rostral anterior cingulate,
racrh,Cingulate Gyrus- Rostral Anterior,right,reward,error processing,triple network,cingulate gyrus- rostral anterior,rostral anterior cingulate,
rlaclatelh,Cingulate Gyrus- Rostral Anterior,left,reward,error processing,triple network,cingulate gyrus- rostral anterior,rostral anterior cingulate,
rlaclaterh,Cingulate Gyrus- Rostral Anterior,right,reward,error processing,triple network,cingulate gyrus- rostral anterior,rostral anterior cingulate,
rracatelh,Cingulate Gyrus- Rostral Anterior,left,reward,error processing,triple network,cingulate gyrus- rostral anterior,rostral anterior cingulate,
rracaterh,Cingulate Gyrus- Rostral Anterior,right,reward,error processing,triple network,cingulate gyrus- rostral anterior,rostral anterior cingulate,
cerc,Cingulo-opercular Network,NA,executive function,attention,executive function,cingulo-opercular network,cingulo-opercular network,
cgc,Cingulo-opercular Network,NA,executive function,attention,executive function,cingulo-opercular network,cingulo-opercular network,
ca,Cinguloparietal Network,NA,executive function,,executive function,cinguloparietal network,cinguloparietal network,
copa,Cinguloparietal Network,NA,executive function,,executive function,cinguloparietal network,cinguloparietal network,
cgclh,Cingulum - Cinglulate,left,executive function,emotion,,cingulum - cinglulate,cingulum - cinglulate,Cingulum (cingulate gyrus) L
cgcrh,Cingulum - Cinglulate,right,executive function,emotion,,cingulum - cinglulate,cingulum - cinglulate,Cingulum (cingulate gyrus) R
cghlh,Cingulum - Parahippocampal,left,memory,,medial temporal lobe,cingulum - parahippocampal,cingulum - parahippocampal,Cingulum (hippocampus) L
cghrh,Cingulum - Parahippocampal,right,memory,,medial temporal lobe,cingulum - parahippocampal,cingulum - parahippocampal,Cingulum (hippocampus) R
cc,Corpus Callosum,NA,,,,corpus callosum,corpus callosum,
cstlh,Corticospinal Tract,left,motor,,sensory/motor,corticospinal tract,corticospinal tract,Corticospinal tract L
cstrh,Corticospinal Tract,right,motor,,sensory/motor,corticospinal tract,corticospinal tract,Corticospinal tract R
cnlh,Cuneus,left,visual processing,,sensory/motor,cuneus,cuneus,
cnrh,Cuneus,right,visual processing,,sensory/motor,cuneus,cuneus,
cuneuslh,Cuneus,left,visual processing,,sensory/motor,cuneus,cuneus,
